TIME_CYCLE : 1                                    
SERIE_INITIAL_DATA : 2008 1 1 0 0 0                               
TIME_UNITS : MONTHS                                    
NAME : SP                         
 
!2- Ribeira do Iguape 3-Rios Una do Prelado e Guarau 4-Rio Itanhaém 5-Regiao Santos 6-Rio Cubatão (Santos) 7-Rios Itapanhaú, Itaguarê, Guaratuba e  Una 8-Rios Juqueriquerê, Maranduba e escuro 9-Rios Puruba e Rio Grande        
<BeginTimeSerie>                                      
0 754.8 41.0 56.3 51.2 29.6 42.5 32.6 22.7
1 805.7 43.7 60.1 54.7 26.9 49.6 38.0 26.5
2 773.8 50.2 69.0 62.8 27.7 45.3 34.8 24.3
3 585.8 40.0 54.9 50.0 19.7 46.4 35.6 24.8
4 531.6 28.2 38.8 35.3 16.3 46.1 35.3 24.6
5 536.6 20.8 28.6 26.0 15.6 48.0 36.8 25.7
6 477.8 17.3 23.8 21.6 13.5 37.5 28.8 20.1
7 409.8 18.8 25.8 23.5 14.3 30.5 23.4 16.3
8 456.6 21.7 29.8 27.1 17.1 32.5 25.0 17.4
9 519.3 30.5 41.9 38.1 20.1 35.1 26.9 18.8
10 524.5 33.3 45.8 41.7 18.8 32.8 25.2 17.5
11 551.0 37.0 50.8 46.3 22.1 36.9 28.3 19.8
<EndTimeSerie>                                          
